Name;Nennform;Dat. (Text);Datierung;Geo. Bez.;Beruf / Tätigkeit;Typ;Biographie;GND Link;Quelle EM;ID EM
"""Frau Lehrer in Bailleul""";"""Frau Lehrer in Bailleul""";1905;Datum erste Erwähnung: 1905, Erwerbungsvorgang;"Aufenthaltsort: Bailleul; Sammelgebiet: Neuguinea";Veräußerin;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;105504
"""Kameradschaft"" Wohlfahrtsgesellschaft";"""Kameradschaft"" Wohlfahrtsgesellschaft";1914;Datum erste Erwähnung: 1914, Erwerbungsvorgang;"Standort: Berlin; Sammelgebiet: Ozeanien";;Körperschaft;;;Nachweis aus dem Inventar IV, DS bearbeitet E. Maluche, DS bearb. B. Gliesmann;368609
"""Kosmos"", Naturhistorisches Institut (Hermann Rolle)";"""Kosmos"", Naturhistorisches Institut (Hermann Rolle)";"1916; 1912";"Datum letzte Erwähnung: 1916, Erwerbungsvorgang; Datum erste Erwähnung: 1912, Erwerbungsvorgang";"Sitz: Berlin; Sammelgebiet: Gilbert-Inseln; Sammelgebiet: Neu-Mecklenburg [...]";;Körperschaft;Kurzbiographie: ab 1915 Inhaber Arthur Speyer*;;"DS bearb. B. Gliesmann
Nachweis aus dem Inventar IV, erg. E. Maluche

*Hinweis http://historischesarchivkoeln.de, Zugriff 13.8.2014";357669
"""Sultanin von Buruku""";"""Sultanin von Buruku""";1898;Datum erste Erwähnung: 1898, Erwähnung im Aktenvorgang;;;Person;;;Nachweis aus dem Vorgang I B 20 Afrika, E 1119/1898, DS bearb. B. Gliesmann;380682
[Si]netteman, J.F.;J.F. [Si]netteman;1905;Datum erste Erwähnung: 1905, Erwerbungsvorgang;Tätigkeitsort: Rotterdam (Niederlande);Veräußerer, Direktor des Städtischen Museums für Völkerkunde, Rotterdam;Person;;;"Nachweis aus dem Inventar I, DS bearb.  
B. Gliesmann";408569
1. Schlesische Kolonialausstellung;1. Schlesische Kolonialausstellung;1907;Existenzdaten: 1907, Erwähnung in der Korrespondenz;Standort: Tarnowitz (?);;Sozietät;;;Nachweis aus dem Vorgang  E 1869/1907 (I B 78 Afrika), DS bearb. B. Gliesmann;405199
2. Dänische Expedition (Ostgrönland);2. Dänische Expedition (Ostgrönland);1892;Existenzdaten: 1892;Sammelgebiet: Ostgrönland;;Körperschaft;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;355248
7. Städtische Höhere Mädchenschule zu Berlin;7. Städtische Höhere Mädchenschule zu Berlin;1907;Datum erste Erwähnung: 1907, Vorgang;Standort: Berlin;;Körperschaft;;;"Nachweis aus dem Vorgang E 2334/1907 (IB 78 Afrika/Kriegsbeute) - Tanzania-Projekt, DS bearb. B. Gliesmann

https://www.deutsche-digitale-bibliothek.de/item/ZF6SIZMTQBEW4NMDLULAEW6B4KNQK65R";405595
A. Asher & Comp.;A. Asher & Comp.;"1859; 1905";"Datum erste Erwähnung: 1859, Korrespondenz; Datum letzte Erwähnung: 1905, Korrespondenz";Standort: Berlin;;Körperschaft;;;Nachweis aus den Vorgängen , DS bearb. B. Gliesmann;300230
Abbot, W.H.;W.H. Abbot;1902;Datum erste Erwähnung: 1902, Erwerbungsvorgang;Sammelgebiet: Collingwood Bay (Britisch Papua Neuguinea);Sammler, Missionar;Person;;;"Nachweis aus Inventar I DS bearb. B. Gliesmann
Im Hauptkatalog bei VI 21470 ""Missionar Abbot"", davor ""W.H. Abbot"".";401825
