geoname1								
Aachen								
Aberdeen (Schottland)								
								
Abessinien (Äthiopien)	Abessinien							
Abomey								
Acapulco (Mexiko)								
Adamaua (Kamerun)	Adamawa							
								
Adi Laie (Eritrea)								
Admiralitäts-Inseln								
Afghanistan								
Afrika								
Afrika (Oberer Nil, Tripolis)								
Afrika, Bornu								
Afrika, Kabylen								
Afrika, Table Bay								
Afrika-Westküste								
Ailinglap (Marshall-Inseln)								
Ainu (Yezo)								
Alaska								
Albuquerque								
Alegria Enfield								
Aleppo (Syrien)								
Alexishafen								
Alfeld (Leine)								
Algier								
Alkersleben								
Allahabad (Indien)								
Alt-Wallmoden (bei Hildesheim)								
Altona								
Amam								
Amazonas (Brasilien)	Amazonien							
								
Ambas Bay, Victoria								
Amoy (China, heutiges Xiamen)	Amoy (Xiamen)							
								
								
Amsterdam (Niederlande)	Amsterdam							
Ancon								
Andalgalá (Argentinien)								
Andamanen								
Andolsheim (Oberelsass)								
Andrew, Alberta (Canada/Kanda)								
Angola								
Annam								
Annapolis (Vereinigte Staaten (USA)								
Ansbach								
Antananarivo [Tananarive] (Madagaskar)								
Antillen								
Antofagasta								
								
Antwerpen (Königreich Belgien)	Antwerpen (Belgien)							
Anuradhapura (Ceylon)								
Anyang (Ajang)-Land (Kamerun)								
								
Apia (Samoa)	Apia							
Arabien								
Araukaner (Chile)								
Archipel, Molukken								
Arequipa (Peru)								
Argentinien								
Argus, ?								
Arica (Chile)								
								
Arizona (Vereinigte Staaten USA)	Arizona							
Arnheim								
Asahan (Ost-Sumatra)								
Aschaffenburg								
Ascona (Tessin/Schweiz)								
Asham								
Askabad (Aşgabat)								
Assam (Indien)								
Asunion (Paraguay)								
Atacama (Chile)								
Atakpame								
Athen (Griechenland)								
Atiu (Cookinseln)								
Atotonilco el Grande in Hidalgo								
Atscho, Muncigebiet (Kamerun)								
Auckland, Neuseeland								
								
Augsburg (Bayern)	Augsburg							
Augusta-Fl., Adm.I., Salomo-I., Heath-I.								
Augusta-Fluß, Admiralitäts-Inseln								
Aurich								
Australien								
Autenrieth								
Avalon (Santa Catalina Island, Kalifornien)								
Babelsberg								
Bad Coserow								
Bad Eilsen								
Bad Elmen								
								
Bad Harzburg (Provinz Hannover)	Bad Harzburg							
Bad Hersfeld								
Bad Homburg								
Bad Kreuznach								
Bad Nauheim								
Bad Oeynhausen								
Bad Soden (Taunus)								
Bad Sulza (Thüringen)								
Baden (bei Wien/Österreich)								
Baden-Baden								
Badia di Cantignano (Capannori, Provinz Lucca)								
Baffinland								
Bagrationowsk (Багратио́новск)								
Bailleul								
