geoname	geoname1	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	geonameId	latitude	longitude
Aachen	Aachen									3247449	50.77664	6.08342
Aberdeen (Schottland)	Aberdeen (Schottland)									2657832	57.14369	-2.09814
Abessinien (Äthiopien)	Abessinien (Äthiopien)	Abessinien								337996	9	39.5
Abomey	Abomey									2395914	6.44852	2.35566
Acapulco (Mexiko)	Acapulco (Mexiko)									3533462	16.84942	-99.90891
Adamaua (Kamerun)	Adamaua (Kamerun)	Adamawa								2224827	7.32765	13.58472
	Adi Laie (Eritrea)											
Admiralitäts-Inseln	Admiralitäts-Inseln									2101359	-2.24338	147.40859
Afghanistan	Afghanistan									1149361	33	66
Afrika	Afrika									6255146	7.1881	21.09375
	Afrika (Oberer Nil, Tripolis)											
	Afrika, Bornu											
	Afrika, Kabylen											
	Afrika, Table Bay											
	Afrika-Westküste											
	Ailinglap (Marshall-Inseln)											
	Ainu (Yezo)											
Alaska	Alaska									5879092	64.00028	-150.00028
Albuquerque	Albuquerque									5454711	35.08449	-106.65114
	Alegria Enfield											
Aleppo (Syrien)	Aleppo (Syrien)									170063	36.20124	37.16117
Alexishafen	Alexishafen									2101036	-5.09074	145.80288
Alfeld (Leine)	Alfeld (Leine)									2958533	51.98382	9.81989
Algier	Algier									2507480	36.73225	3.08746
Alkersleben	Alkersleben									2958480	50.85	11.03333
Allahabad (Indien)	Allahabad (Indien)									1278994	25.44478	81.84322
	Alt-Wallmoden (bei Hildesheim)											
Altona	Altona									2911296	53.55	9.93333
Amam	Amam									8521444	30.43698	49.10288
Amazonas (Brasilien)	Amazonas (Brasilien)	Amazonien								3663517	-3.10194	-60025
	Ambas Bay, Victoria											
Amoy (Xiamen)	Amoy (China, heutiges Xiamen)	Amoy (Xiamen)								1790645	24.47979	118.08187
Amsterdam (Niederlande)	Amsterdam (Niederlande)	Amsterdam								2759794	52.37403	4.88969
Ancon	Ancon									3714734	8.96015	-79.5514
Andalgalá (Argentinien)	Andalgalá (Argentinien)									3865801	-27.58333	-66.46667
Andamanen	Andamanen									1259385	11.66613	92.74635
	Andolsheim (Oberelsass)											
	Andrew, Alberta (Canada/Kanda)											
Angola	Angola									3351879	-12.5	18.5
Annam	Annam									1594320	15	108
	Annapolis (Vereinigte Staaten (USA)											
Ansbach	Ansbach									2955936	49.30481	10.5931
Antananarivo [Tananarive] (Madagaskar)	Antananarivo [Tananarive] (Madagaskar)									1070940	-18.91368	47.53613
Antillen	Antillen									3574469	19	-72
Antofagasta	Antofagasta									3899539	-23.65094	-70.39752
Antwerpen (Belgien)	Antwerpen (Königreich Belgien)	Antwerpen (Belgien)								2803138	51.22047	4.40026
	Anuradhapura (Ceylon)											
	Anyang (Ajang)-Land (Kamerun)											
Apia (Samoa)	Apia (Samoa)	Apia								4035413	-13.83333	-171.76666
Arabien	Arabien									102358	25	45
	Araukaner (Chile)											
Archipel, Molukken	Archipel, Molukken									1636629	-1.57634	127.71744
Arequipa (Peru)	Arequipa (Peru)									3947322	-16.39899	-71.53747
Argentinien	Argentinien									3865483	-34	-64
Argus, ?	Argus, ?									6639262	-80.36666	77.35416
Arica (Chile)	Arica (Chile)									3899361	-18.47552	-70.30058
Arizona	Arizona (Vereinigte Staaten USA)	Arizona								5551752	34.5003	-111.50098
Arnheim	Arnheim									2759661	51.98	5.91111
	Asahan (Ost-Sumatra)											
Aschaffenburg	Aschaffenburg									2955272	49.97704	9.15214
Ascona (Tessin/Schweiz)	Ascona (Tessin/Schweiz)									2661698	46.15451	8.77327
Asham	Asham									383210	28.48405	41.23067
Askabad (Aşgabat)	Askabad (Aşgabat)									162183	37.95	58.38333
Assam (Indien)	Assam (Indien)									1278253	26	93
	Asunion (Paraguay)											
Atacama (Chile)	Atacama (Chile)									3899191	-27.5	-70
Atakpame	Atakpame									2367886	7.53333	1.13333
Athen (Griechenland)	Athen (Griechenland)									264371	37.98376	23.72784
Atiu (Cookinseln)	Atiu (Cookinseln)									11695126	-19.99569	-158.10948
	Atotonilco el Grande in Hidalgo											
	Atscho, Muncigebiet (Kamerun)											
Auckland, Neuseeland	Auckland, Neuseeland									2187404	-36.99282	174.87986
Augsburg (Bayern)	Augsburg (Bayern)	Augsburg								2954172	48.37154	10.89851
	Augusta-Fl., Adm.I., Salomo-I., Heath-I.											
	Augusta-Fluß, Admiralitäts-Inseln											
Aurich	Aurich									2954006	53.46919	7.48232
Australien	Australien									2077456	-25	135
	Autenrieth											
	Avalon (Santa Catalina Island, Kalifornien)											
Babelsberg	Babelsberg									2953775	52.39322	13.0955
	Bad Coserow											
Bad Eilsen	Bad Eilsen									2953516	52.24215	9.09822
Bad Elmen	Bad Elmen									8643119	51.99908	11.72001
Bad Harzburg	Bad Harzburg (Provinz Hannover)	Bad Harzburg								2953449	51.88268	10.56157
Bad Hersfeld	Bad Hersfeld									2953439	50.87197	9.70891
Bad Homburg	Bad Homburg									2953436	50.22683	8.61816
Bad Kreuznach	Bad Kreuznach									2953416	49.8414	7.86713
Bad Nauheim	Bad Nauheim									2953395	50.36463	8.73859
Bad Oeynhausen	Bad Oeynhausen									2953386	52.20699	8.80365
Bad Soden (Taunus)	Bad Soden (Taunus)									2953339	50.1408	8.50449
Bad Sulza (Thüringen)	Bad Sulza (Thüringen)									2953330	51.08929	11.62474
	Baden (bei Wien/Österreich)											
Baden-Baden	Baden-Baden									2825297	48.78232	9.17702
	Badia di Cantignano (Capannori, Provinz Lucca)											
	Baffinland											
Bagrationowsk (Багратио́новск)	Bagrationowsk (Багратио́новск)									579760	54.38714	20.64372
Bailleul	Bailleul									3035359	50.73592	2.73594
	Baining, Gazelle- Halbinsel											
	Baldenburg (Westpreußen)											
Bali	Bali									1650534	-8.33333	115
Bali (Kamerun)	Bali (Kamerun)									8521737	5.89548	10.03395
	Ballenstedt a/H											
	Balve (Bezirk Dortmund/Westfalen)											
Bamberg	Bamberg									2952984	49.89873	10.90067
Bamenda (Kamerun)	Bamenda (Kamerun)									2234974	5.9597	10.14597
	Bamum (Kamerun)	Bamum, Volksgruppe										
	Bandjermasin (Südost-Borneo)											
Bangalore (Indien)	Bangalore (Indien)									1277333	12.97194	77.59369
Bangkok (Thailand)	Bangkok (Thailand)	Bangkok	Bangkok (Siam)							1609350	13.75398	100.50144
	Bangladesch (Bengalen)											
Barcelona (Spanien)	Barcelona (Spanien)									3128760	41.38879	2.15899
Bari (Italien)	Bari (Italien)									3182351	41.12066	16.86982
Barmen	Barmen									3357087	-22.11144	16.74567
Barranquilla (Kolumbien)	Barranquilla (Kolumbien)									3689147	10.96854	-74.78132
Barsinghausen bei Hannover	Barsinghausen bei Hannover									2900206	52.38639	9.48446
Barth (Pommern)	Barth (Pommern)									6550705	54.3576	12.7142
Baruth (Mark)	Baruth (Mark)									7602464	52.05	13.5
	Barzwitz (bei Rügenwalde)											
Basel (Schweiz)	Basel (Schweiz)	Basel								2661604	47.55839	7.57327
Batak (Sumatra	Batak (Sumatra	Batakgebiet (Sumatra)								6716409	3.0971	99.0513
	Batavia (heute: Jakarta) (auf Java, Indonesien)											
	Batu Djadjar (Java)											
Bautzen	Bautzen									2951881	51.18035	14.43494
Bayaka	Bayaka									8276059	-5.40981	18.47444
Bayamon (Puerto Rico)	Bayamon (Puerto Rico)									4562831	18.39856	-66.15572
Bayern	Bayern									2951839	49	11.5
Bayreuth	Bayreuth									2951825	49.94782	11.57893
	Bazentin le Petit (bei Albert) (Frankreich)											
	Beagle Bay (Nordwest-Australien)											
